dag,week,jaar,tijd,gem_intensiteit
Saturday,38,2023,15:00,662.3225806451613
Saturday,38,2023,16:00,672.7096774193549
Saturday,38,2023,17:00,657.2258064516129
Saturday,38,2023,18:00,578.4516129032259
Saturday,38,2023,19:00,529.0967741935484
Saturday,38,2023,20:00,478.03225806451616
Saturday,38,2023,21:00,422.51612903225805
Saturday,38,2023,22:00,425.0
Saturday,38,2023,23:00,388.8709677419355
Saturday,38,2024,00:00,262.1290322580645
Saturday,38,2024,01:00,163.74193548387098
Saturday,38,2024,02:00,107.80645161290323
Saturday,38,2024,03:00,86.09677419354838
Saturday,38,2024,04:00,83.51612903225806
Saturday,38,2024,05:00,112.35483870967742
Saturday,38,2024,06:00,172.93548387096774
Saturday,38,2024,07:00,266.2258064516129
Saturday,38,2024,08:00,398.5483870967742
Saturday,38,2024,09:00,590.9354838709677
Saturday,38,2024,10:00,689.8709677419355
Saturday,38,2024,11:00,774.5806451612904
Saturday,38,2024,12:00,827.4516129032259
Saturday,38,2024,13:00,864.741935483871
Saturday,38,2024,14:00,873.8709677419355
Saturday,38,2024,15:00,872.7741935483871
Saturday,38,2024,16:00,840.3870967741935
Saturday,38,2024,17:00,860.1935483870968
Saturday,38,2024,18:00,801.3548387096774
Saturday,38,2024,19:00,696.1612903225806
Saturday,38,2024,20:00,610.9032258064516
Saturday,38,2024,21:00,526.6451612903226
Saturday,38,2024,22:00,509.96774193548384
Saturday,38,2024,23:00,522.8709677419355
Saturday,39,2020,00:00,289.80645161290323
Saturday,39,2020,01:00,179.0
Saturday,39,2020,02:00,102.80645161290323
Saturday,39,2020,03:00,75.25806451612904
Saturday,39,2020,04:00,70.12903225806451
Saturday,39,2020,05:00,106.16129032258064
Saturday,39,2020,06:00,200.09677419354838
Saturday,39,2020,07:00,312.258064516129
Saturday,39,2020,08:00,509.83870967741933
Saturday,39,2020,09:00,773.6129032258065
Saturday,39,2020,10:00,950.0645161290323
Saturday,39,2020,11:00,1045.1290322580646
Saturday,39,2020,12:00,1140.0
Saturday,39,2020,13:00,1207.5806451612902
Saturday,39,2020,14:00,1222.8064516129032
Saturday,39,2020,15:00,1160.032258064516
Saturday,39,2020,16:00,1103.8064516129032
Saturday,39,2020,17:00,1075.8064516129032
Saturday,39,2020,18:00,902.0645161290323
Saturday,39,2020,19:00,758.3870967741935
Saturday,39,2020,20:00,650.1935483870968
Saturday,39,2020,21:00,558.3870967741935
Saturday,39,2020,22:00,528.1935483870968
Saturday,39,2020,23:00,504.2903225806452
Sunday,38,2019,00:00,398.83870967741933
Sunday,38,2019,01:00,261.4193548387097
Sunday,38,2019,02:00,170.2258064516129
Sunday,38,2019,03:00,130.58064516129033
Sunday,38,2019,04:00,118.70967741935483
Sunday,38,2019,05:00,131.4516129032258
Sunday,38,2019,06:00,178.96774193548387
Sunday,38,2019,07:00,220.96774193548387
Sunday,38,2019,08:00,356.2903225806452
Sunday,38,2019,09:00,612.6451612903226
Sunday,38,2019,10:00,841.7096774193549
Sunday,38,2019,11:00,997.9354838709677
Sunday,38,2019,12:00,1116.9032258064517
Sunday,38,2019,13:00,1190.225806451613
Sunday,38,2019,14:00,1194.8709677419354
Sunday,38,2019,15:00,1173.6774193548388
Sunday,38,2019,16:00,1195.6451612903227
Sunday,38,2019,17:00,1107.6451612903227
Sunday,38,2019,18:00,932.4193548387096
Sunday,38,2019,19:00,935.6451612903226
Sunday,38,2019,20:00,891.2903225806451
Sunday,38,2019,21:00,664.0967741935484
Sunday,38,2019,22:00,461.7096774193548
Sunday,38,2019,23:00,296.1290322580645
Sunday,38,2021,00:00,488.7741935483871
Sunday,38,2021,01:00,285.2903225806452
Sunday,38,2021,02:00,159.93548387096774
Sunday,38,2021,03:00,111.48387096774194
Sunday,38,2021,04:00,83.64516129032258
Sunday,38,2021,05:00,93.35483870967742
Sunday,38,2021,06:00,152.8709677419355
Sunday,38,2021,07:00,216.41935483870967
Sunday,38,2021,08:00,329.9032258064516
Sunday,38,2021,09:00,588.516129032258
Sunday,38,2021,10:00,860.8709677419355
Sunday,38,2021,11:00,1038.8387096774193
Sunday,38,2021,12:00,1154.032258064516
Sunday,38,2021,13:00,1132.516129032258
Sunday,38,2021,14:00,1043.5483870967741
Sunday,38,2021,15:00,1215.9354838709678
Sunday,38,2021,16:00,1234.0967741935483
Sunday,38,2021,17:00,1207.5483870967741
Sunday,38,2021,18:00,1032.4516129032259
Sunday,38,2021,19:00,978.0
Sunday,38,2021,20:00,921.4516129032259
Sunday,38,2021,21:00,685.4516129032259
Sunday,38,2021,22:00,494.9032258064516
Sunday,38,2021,23:00,308.7741935483871
Sunday,38,2022,00:00,401.3703703703704
Sunday,38,2022,01:00,264.0
Sunday,38,2022,02:00,178.92592592592592
Sunday,38,2022,03:00,146.07407407407408
Sunday,38,2022,04:00,130.11111111111111
Sunday,38,2022,05:00,146.1851851851852
Sunday,38,2022,06:00,184.5185185185185
Sunday,38,2022,07:00,234.55555555555554
Sunday,38,2022,08:00,288.3333333333333
Sunday,38,2022,09:00,502.4074074074074
Sunday,38,2022,10:00,718.4074074074074
Sunday,38,2022,11:00,875.7777777777778
Sunday,38,2022,12:00,1004.5185185185185
Sunday,38,2022,13:00,1077.8148148148148
Sunday,38,2022,14:00,1098.111111111111
Sunday,38,2022,15:00,1079.4814814814815
Sunday,38,2022,16:00,1050.7407407407406
Sunday,38,2022,17:00,970.8148148148148
Sunday,38,2022,18:00,883.8148148148148
Sunday,38,2022,19:00,797.7037037037037
Sunday,38,2022,20:00,742.925925925926
Sunday,38,2022,21:00,547.6296296296297
Sunday,38,2022,22:00,438.6666666666667
Sunday,38,2022,23:00,425.44444444444446
Sunday,38,2023,00:00,263.61290322580646
Sunday,38,2023,01:00,168.2258064516129
Sunday,38,2023,02:00,101.09677419354838
Sunday,38,2023,03:00,85.48387096774194
Sunday,38,2023,04:00,74.61290322580645
Sunday,38,2023,05:00,81.0
Sunday,38,2023,06:00,102.38709677419355
Sunday,38,2023,07:00,138.2258064516129
Sunday,38,2023,08:00,189.3548387096774
Sunday,38,2023,09:00,374.61290322580646
Sunday,38,2023,10:00,525.1612903225806
Sunday,38,2023,11:00,628.8064516129032
Sunday,38,2023,12:00,726.516129032258
Sunday,38,2023,13:00,711.2258064516129
Sunday,38,2023,14:00,647.5806451612904
Sunday,38,2023,15:00,692.7096774193549
Sunday,38,2023,16:00,679.6129032258065
Sunday,38,2023,17:00,632.4193548387096
Sunday,38,2023,18:00,605.5483870967741
Sunday,38,2023,19:00,574.8064516129032
Sunday,38,2023,20:00,537.258064516129
Sunday,38,2023,21:00,422.2258064516129
Sunday,38,2023,22:00,319.64516129032256
Sunday,38,2023,23:00,222.51612903225808
Sunday,38,2024,00:00,355.03225806451616
Sunday,38,2024,01:00,198.93548387096774
Sunday,38,2024,02:00,123.70967741935483
Sunday,38,2024,03:00,102.35483870967742
Sunday,38,2024,04:00,85.96774193548387
Sunday,38,2024,05:00,96.61290322580645
Sunday,38,2024,06:00,119.96774193548387
Sunday,38,2024,07:00,159.32258064516128
Sunday,38,2024,08:00,244.06451612903226
Sunday,38,2024,09:00,423.5806451612903
Sunday,38,2024,10:00,575.0645161290323
Sunday,38,2024,11:00,715.7741935483871
Sunday,38,2024,12:00,823.0322580645161
Sunday,38,2024,13:00,875.3870967741935
Sunday,38,2024,14:00,872.7096774193549
Sunday,38,2024,15:00,832.6774193548387
Sunday,38,2024,16:00,835.483870967742
Sunday,38,2024,17:00,829.1935483870968
Sunday,38,2024,18:00,748.9677419354839
Sunday,38,2024,19:00,674.7741935483871
Sunday,38,2024,20:00,620.6774193548387
Sunday,38,2024,21:00,473.48387096774195
Sunday,38,2024,22:00,351.96774193548384
Sunday,38,2024,23:00,242.09677419354838
Sunday,39,2020,00:00,316.16129032258067
Sunday,39,2020,01:00,194.8709677419355
Sunday,39,2020,02:00,107.6774193548387
Sunday,39,2020,03:00,67.83870967741936
Sunday,39,2020,04:00,54.25806451612903
Sunday,39,2020,05:00,73.12903225806451
Sunday,39,2020,06:00,115.58064516129032
Sunday,39,2020,07:00,165.58064516129033
Sunday,39,2020,08:00,267.9032258064516
Sunday,39,2020,09:00,494.2258064516129
Sunday,39,2020,10:00,715.7741935483871
Sunday,39,2020,11:00,886.483870967742
Sunday,39,2020,12:00,1034.6451612903227
Sunday,39,2020,13:00,1101.6129032258063
Sunday,39,2020,14:00,1131.0
Sunday,39,2020,15:00,1118.5806451612902
Sunday,39,2020,16:00,1081.6774193548388
Sunday,39,2020,17:00,1056.7096774193549
Sunday,39,2020,18:00,843.3870967741935
Sunday,39,2020,19:00,753.741935483871
Sunday,39,2020,20:00,720.6129032258065
Sunday,39,2020,21:00,537.1290322580645
Sunday,39,2020,22:00,397.7096774193548
Sunday,39,2020,23:00,233.58064516129033
Thursday,38,2019,00:00,176.0
Thursday,38,2019,01:00,98.45161290322581
Thursday,38,2019,02:00,66.12903225806451
Thursday,38,2019,03:00,63.83870967741935
Thursday,38,2019,04:00,111.03225806451613
Thursday,38,2019,05:00,307.4516129032258
Thursday,38,2019,06:00,1002.4193548387096
Thursday,38,2019,07:00,1513.9032258064517
Thursday,38,2019,08:00,1554.8064516129032
Thursday,38,2019,09:00,1274.0967741935483
Thursday,38,2019,10:00,1095.1612903225807
Thursday,38,2019,11:00,1061.8387096774193
Thursday,38,2019,12:00,1158.258064516129
Thursday,38,2019,13:00,1190.741935483871
Thursday,38,2019,14:00,1318.0
Thursday,38,2019,15:00,1515.6451612903227
Thursday,38,2019,16:00,1507.0
Thursday,38,2019,17:00,1525.5806451612902
Thursday,38,2019,18:00,1240.1612903225807
Thursday,38,2019,19:00,906.3870967741935
Thursday,38,2019,20:00,707.258064516129
Thursday,38,2019,21:00,647.0322580645161
Thursday,38,2019,22:00,564.8387096774194
Thursday,38,2019,23:00,381.741935483871
Thursday,38,2021,00:00,172.70967741935485
Thursday,38,2021,01:00,95.61290322580645
Thursday,38,2021,02:00,63.87096774193548
Thursday,38,2021,03:00,60.54838709677419
Thursday,38,2021,04:00,90.93548387096774
